Latitude,Longitude,Depth,Magnitude,Quality,Location
66.244,-16.553,6.2 km,1.2,83.49,7.8 km SW of Kópasker
66.248,-16.56,1.4 km,1,57.57,7.7 km SW of Kópasker
66.227,-16.582,0.1 km,0.9,30.03,10.1 km SW of Kópasker
66.244,-16.574,3.0 km,2.1,90.04,8.4 km SW of Kópasker
66.975,-15.719,8.3 km,2,55.25,81.5 km NNE of Kópasker
66.372,-16.466,1.1 km,1.2,32.18,7.8 km N of Kópasker
66.252,-16.573,2.2 km,1.9,90.03,7.7 km SW of Kópasker
66.257,-16.586,1.1 km,1.5,90.01,7.8 km SW of Kópasker
66.243,-16.552,0.6 km,1.3,53.47,7.9 km SW of Kópasker
66.28,-16.534,6.2 km,1.2,63.78,4.4 km WSW of Kópasker
66.254,-16.542,2.3 km,1.7,84.64,6.7 km SW of Kópasker
66.27,-16.524,2.8 km,1.5,90.01,4.8 km SW of Kópasker
66.293,-16.539,1.1 km,1.2,43.69,4.0 km WSW of Kópasker
66.231,-16.578,3.3 km,1.2,34.26,9.7 km SW of Kópasker
66.263,-16.54,8.1 km,1.5,90.02,5.8 km SW of Kópasker
66.261,-16.546,0.1 km,1.2,46.34,6.2 km SW of Kópasker
66.245,-16.58,2.7 km,2.1,90.04,8.5 km SW of Kópasker
66.261,-16.549,7.3 km,1.7,90.02,6.3 km SW of Kópasker
66.238,-16.576,7.1 km,1.6,90.01,9.0 km SW of Kópasker
66.263,-16.559,1.3 km,2.4,90.05,6.4 km SW of Kópasker
66.264,-16.545,2.5 km,1.3,66.71,5.9 km SW of Kópasker
66.323,-16.606,10.2 km,1.2,51.53,7.3 km WNW of Kópasker
66.046,-16.659,0.3 km,0.5,35.1,8.0 km NW of Ásbyrgi
66.269,-16.554,2.1 km,1.1,48.96,5.8 km SW of Kópasker
66.269,-16.554,1.6 km,1.7,90.02,5.8 km SW of Kópasker
66.248,-16.57,3.3 km,2,90.02,8.0 km SW of Kópasker
66.252,-16.561,5.2 km,1.5,79.31,7.4 km SW of Kópasker
66.259,-16.534,5.0 km,1.1,33.75,6.0 km SW of Kópasker
66.25,-16.562,1.2 km,1.8,37.33,7.6 km SW of Kópasker
66.259,-16.597,5.6 km,2.3,90.02,8.0 km SW of Kópasker
66.792,-17.508,1.1 km,3,40.98,35.5 km NE of Grímsey
66.257,-16.581,5.6 km,1.7,90.01,7.6 km SW of Kópasker
66.27,-16.623,5.9 km,1.8,43.71,8.4 km WSW of Kópasker
66.258,-16.54,3.4 km,1.7,83.64,6.3 km SW of Kópasker
66.263,-16.543,2.3 km,3.8,99,5.9 km SW of Kópasker
66.256,-16.57,0.6 km,2.2,62.58,7.3 km SW of Kópasker
66.266,-16.537,3.3 km,2.8,99,5.5 km SW of Kópasker
66.262,-16.534,4.3 km,1.6,85.24,5.7 km SW of Kópasker
66.264,-16.529,2.2 km,1.2,99,5.4 km SW of Kópasker
66.26,-16.543,5.4 km,1.3,46.91,6.2 km SW of Kópasker
66.262,-16.535,2.8 km,1.4,99,5.7 km SW of Kópasker
66.263,-16.545,5.2 km,1.5,37.31,6.0 km SW of Kópasker
66.264,-16.547,1.6 km,2.7,99,6.0 km SW of Kópasker
66.234,-16.557,3.6 km,1,71.02,8.9 km SSW of Kópasker
66.244,-16.543,5.1 km,1,73.44,7.6 km SSW of Kópasker
66.233,-16.563,2.9 km,1,55.56,9.1 km SSW of Kópasker
66.241,-16.553,3.0 km,1,55.75,8.1 km SW of Kópasker
66.253,-16.545,2.8 km,1.1,73.18,6.8 km SW of Kópasker
66.235,-16.555,2.9 km,1.1,73.15,8.7 km SSW of Kópasker
66.262,-16.548,1.1 km,0.9,32.68,6.2 km SW of Kópasker
66.264,-16.536,3.7 km,1.1,72.4,5.6 km SW of Kópasker
66.293,-16.547,7.3 km,1.1,57.51,4.4 km WSW of Kópasker
66.267,-16.534,4.7 km,1.2,86.88,5.3 km SW of Kópasker
66.234,-16.557,3.1 km,1.4,99,8.8 km SSW of Kópasker
65.714,-16.761,2.1 km,0.5,71.69,0.3 km WNW of Kröfluvirkjun
66.236,-16.56,3.4 km,1.4,58.83,8.8 km SSW of Kópasker
66.272,-16.527,4.8 km,1.9,99,4.7 km SW of Kópasker
66.245,-16.546,2.3 km,1.1,99,7.5 km SW of Kópasker
