Latitude,Longitude,Depth,Magnitude,Quality,Location
63.7,-19.237,5.1 km,2.1,37.61,6.7 km N of Goðabunga
66.252,-16.543,1.9 km,1.3,90.01,6.9 km SW of Kópasker
66.289,-16.532,5.1 km,1,30.88,3.8 km WSW of Kópasker
66.261,-16.533,3.9 km,1.3,86,5.8 km SW of Kópasker
66.281,-16.602,8.7 km,1.1,42.06,7.1 km WSW of Kópasker
66.256,-16.567,0.8 km,1.2,64.34,7.2 km SW of Kópasker
66.26,-16.537,3.8 km,1.1,72.61,6.0 km SW of Kópasker
66.261,-16.537,4.8 km,1.2,73.2,5.9 km SW of Kópasker
66.254,-16.541,5.0 km,1,71.48,6.6 km SW of Kópasker
66.288,-16.595,6.9 km,1.1,36.03,6.6 km WSW of Kópasker
66.273,-16.542,2.9 km,1.6,59.53,5.1 km SW of Kópasker
66.255,-16.557,1.3 km,1.6,90.01,7.0 km SW of Kópasker
66.258,-16.529,5.7 km,1.6,90.01,6.0 km SW of Kópasker
66.257,-16.558,3.6 km,1.8,90.02,6.9 km SW of Kópasker
66.252,-16.537,5.0 km,1.2,38.35,6.7 km SW of Kópasker
66.255,-16.57,2.8 km,2.4,90.03,7.4 km SW of Kópasker
66.246,-16.552,7.3 km,1.4,88.71,7.6 km SW of Kópasker
66.256,-16.542,5.6 km,1.9,90.01,6.5 km SW of Kópasker
66.249,-16.549,2.8 km,1.1,73.67,7.3 km SW of Kópasker
66.263,-16.542,5.1 km,1.6,90.01,5.9 km SW of Kópasker
66.262,-16.533,5.8 km,1.3,86.58,5.7 km SW of Kópasker
66.257,-16.535,5.3 km,1.2,74.01,6.2 km SW of Kópasker
66.267,-16.551,0.8 km,1,30.95,5.9 km SW of Kópasker
66.252,-16.545,2.6 km,1.2,73.75,6.9 km SW of Kópasker
66.258,-16.542,9.6 km,0.9,36.61,6.3 km SW of Kópasker
66.254,-16.532,3.5 km,1.1,68.63,6.4 km SW of Kópasker
66.247,-16.547,2.6 km,1,32.49,7.4 km SW of Kópasker
66.262,-16.511,13.7 km,1,39.37,5.1 km SSW of Kópasker
66.26,-16.555,5.0 km,1.4,77.53,6.5 km SW of Kópasker
66.258,-16.536,1.2 km,1,36.24,6.1 km SW of Kópasker
66.255,-16.548,2.4 km,1.7,90.01,6.7 km SW of Kópasker
66.259,-16.516,6.4 km,3.1,99,5.6 km SSW of Kópasker
66.256,-16.548,0.1 km,2.7,99,6.6 km SW of Kópasker
65.295,-16.285,1.1 km,1.1,48.31,8.5 km ESE of Herðubreiðarfjöll
66.266,-16.552,3.7 km,2.3,90.03,6.0 km SW of Kópasker
66.251,-16.552,2.6 km,1,30.74,7.2 km SW of Kópasker
66.256,-16.537,2.9 km,1.5,90.01,6.3 km SW of Kópasker
66.251,-16.507,1.2 km,1.5,84.68,6.1 km SSW of Kópasker
66.258,-16.539,5.6 km,1.2,74.15,6.2 km SW of Kópasker
66.258,-16.55,5.0 km,1.1,47.12,6.5 km SW of Kópasker
66.252,-16.546,2.8 km,1.3,74.1,6.9 km SW of Kópasker
66.257,-16.525,8.4 km,1.6,90.02,5.9 km SSW of Kópasker
66.257,-16.557,2.4 km,2.1,90.04,6.8 km SW of Kópasker
66.266,-16.562,0.3 km,1,45.44,6.3 km SW of Kópasker
66.248,-16.557,1.7 km,0.9,75.11,7.6 km SW of Kópasker
66.256,-16.56,1.1 km,1.1,40.79,7.0 km SW of Kópasker
66.299,-16.505,6.7 km,1.4,74.16,2.4 km W of Kópasker
66.26,-16.55,1.1 km,1.2,57.84,6.4 km SW of Kópasker
66.257,-16.543,1.8 km,1,37.6,6.4 km SW of Kópasker
66.308,-16.459,5.5 km,1.2,74,0.8 km NNW of Kópasker
66.26,-16.538,3.7 km,1.3,90.01,6.0 km SW of Kópasker
66.275,-16.497,6.1 km,1.2,33.04,3.6 km SW of Kópasker
66.255,-16.541,1.6 km,1.3,87.28,6.5 km SW of Kópasker
66.257,-16.537,3.7 km,1.2,46.05,6.3 km SW of Kópasker
66.254,-16.544,2.2 km,1,99,6.7 km SW of Kópasker
66.261,-16.514,11.2 km,1,99,5.3 km SSW of Kópasker
66.256,-16.537,3.8 km,1.4,99,6.3 km SW of Kópasker
66.252,-16.538,3.7 km,1.3,99,6.7 km SW of Kópasker
66.261,-16.536,5.0 km,2.4,99,5.9 km SW of Kópasker
66.258,-16.532,3.1 km,2.4,99,6.0 km SW of Kópasker
66.262,-16.536,2.4 km,2.7,99,5.8 km SW of Kópasker
66.255,-16.548,1.7 km,1.1,57.93,6.7 km SW of Kópasker
66.263,-16.528,2.4 km,1.3,90.01,5.5 km SW of Kópasker
66.248,-16.548,2.4 km,1,72.57,7.4 km SW of Kópasker
66.26,-16.533,2.5 km,1.4,90.01,5.9 km SW of Kópasker
66.254,-16.541,2.4 km,1.2,85.44,6.6 km SW of Kópasker
66.253,-16.536,3.7 km,1.1,81.74,6.6 km SW of Kópasker
66.254,-16.553,1.9 km,1,30.97,7.0 km SW of Kópasker
66.257,-16.532,5.3 km,1.3,99,6.2 km SW of Kópasker
66.261,-16.538,3.0 km,0.7,99,6.0 km SW of Kópasker
66.261,-16.537,2.4 km,0.9,99,5.9 km SW of Kópasker
66.256,-16.537,3.1 km,1.2,99,6.3 km SW of Kópasker
66.262,-16.535,4.1 km,2,99,5.8 km SW of Kópasker
66.264,-16.53,3.0 km,1.3,99,5.4 km SW of Kópasker
66.259,-16.537,2.9 km,1.4,99,6.1 km SW of Kópasker
66.259,-16.541,2.0 km,2.5,99,6.2 km SW of Kópasker
66.261,-16.536,3.6 km,2,99,5.9 km SW of Kópasker
66.256,-16.537,2.6 km,1.3,83.92,6.3 km SW of Kópasker
66.261,-16.536,3.0 km,1,99,5.9 km SW of Kópasker
63.895,-21.683,8.8 km,1.1,83.3,10.0 km S of Bláfjallaskáli
66.257,-16.538,2.9 km,1.4,86.16,6.3 km SW of Kópasker
66.266,-16.54,1.6 km,1.1,83.8,5.6 km SW of Kópasker
66.249,-16.545,2.9 km,1,72.76,7.2 km SW of Kópasker
66.258,-16.541,2.3 km,1.1,57.82,6.3 km SW of Kópasker
66.259,-16.537,3.3 km,1.7,99,6.1 km SW of Kópasker
66.263,-16.551,0.7 km,1,47.3,6.2 km SW of Kópasker
66.256,-16.555,0.7 km,1.1,59.47,6.9 km SW of Kópasker
66.257,-16.56,1.1 km,1,31.3,6.9 km SW of Kópasker
66.256,-16.538,1.8 km,1.2,85.21,6.4 km SW of Kópasker
66.26,-16.533,5.4 km,1.9,99,5.9 km SW of Kópasker
66.274,-16.523,5.2 km,1.1,52.92,4.4 km SW of Kópasker
66.254,-16.547,1.8 km,1.1,58.33,6.8 km SW of Kópasker
66.262,-16.546,5.2 km,1,35.46,6.1 km SW of Kópasker
66.257,-16.532,3.1 km,1.4,88.84,6.1 km SW of Kópasker
66.251,-16.573,0.8 km,1,37.31,7.8 km SW of Kópasker
66.263,-16.539,1.9 km,1.1,37.85,5.8 km SW of Kópasker
66.254,-16.541,3.5 km,1.7,99,6.7 km SW of Kópasker
66.258,-16.543,6.2 km,2.2,99,6.3 km SW of Kópasker
66.248,-16.538,3.3 km,1.1,52.82,7.1 km SSW of Kópasker
66.502,-17.789,1.1 km,1.4,38.31,10.7 km ESE of Grímsey
66.259,-16.539,2.9 km,1.2,74.78,6.1 km SW of Kópasker
66.643,-17.873,11.9 km,1.9,99,12.8 km NNE of Grímsey
66.254,-16.539,2.7 km,1,38.74,6.6 km SW of Kópasker
66.258,-16.531,5.4 km,1.1,82.14,6.0 km SW of Kópasker
63.955,-20.002,7.3 km,0.9,99,15.5 km SE of Árnes
66.254,-16.563,0.9 km,1.1,58.56,7.3 km SW of Kópasker
66.256,-16.544,2.4 km,1.2,68.06,6.5 km SW of Kópasker
66.266,-16.534,1.9 km,1.4,85.33,5.4 km SW of Kópasker
66.564,-17.734,5.1 km,1.5,58.39,12.4 km ENE of Grímsey
66.25,-16.548,1.9 km,1,43.09,7.2 km SW of Kópasker
66.264,-16.549,0.8 km,1.1,31.37,6.0 km SW of Kópasker
66.262,-16.536,5.0 km,1.5,99,5.8 km SW of Kópasker
66.267,-16.534,3.3 km,1.6,99,5.4 km SW of Kópasker
66.256,-16.558,1.5 km,0.6,99,7.0 km SW of Kópasker
66.268,-16.534,2.8 km,2.2,99,5.2 km SW of Kópasker
66.267,-16.524,2.7 km,1.4,99,5.0 km SW of Kópasker
66.267,-16.525,2.4 km,0.9,99,5.1 km SW of Kópasker
64.032,-16.35,3.0 km,0.3,33.83,16.3 km E of Hvannadalshnjúkur
66.257,-16.547,3.4 km,1.3,99,6.6 km SW of Kópasker
66.266,-16.532,2.8 km,0.7,99,5.3 km SW of Kópasker
66.262,-16.53,2.7 km,1.1,99,5.6 km SW of Kópasker
66.267,-16.535,2.5 km,1,99,5.4 km SW of Kópasker
66.259,-16.536,4.3 km,0.7,99,6.1 km SW of Kópasker
66.263,-16.535,2.3 km,1.1,99,5.7 km SW of Kópasker
63.959,-21.137,8.1 km,0.3,99,5.2 km SSE of Hveragerði
65.031,-16.692,4.7 km,0.5,99,4.2 km W of Dreki
66.263,-16.536,2.1 km,1,99,5.7 km SW of Kópasker
66.266,-16.531,3.3 km,1.1,99,5.3 km SW of Kópasker
66.258,-16.537,1.5 km,0.7,99,6.2 km SW of Kópasker
66.26,-16.538,2.0 km,0.5,99,6.0 km SW of Kópasker
66.266,-16.539,2.6 km,0.5,99,5.6 km SW of Kópasker
66.262,-16.541,1.7 km,0.6,99,5.9 km SW of Kópasker
66.262,-16.559,0.1 km,0.7,99,6.5 km SW of Kópasker
66.265,-16.532,2.2 km,1.1,99,5.4 km SW of Kópasker
66.262,-16.534,2.1 km,1.1,99,5.7 km SW of Kópasker
66.285,-16.699,5.5 km,1.3,99,11.2 km W of Kópasker
66.257,-16.535,4.7 km,1.3,86.13,6.2 km SW of Kópasker
66.258,-16.541,3.0 km,1.8,99,6.3 km SW of Kópasker
66.185,-16.563,1.1 km,0.5,99,13.9 km SSW of Kópasker
66.26,-16.538,2.2 km,0.8,99,6.0 km SW of Kópasker
66.213,-17.18,10.6 km,0.7,99,20.4 km NNE of Húsavík
66.262,-16.532,2.6 km,1.1,99,5.6 km SW of Kópasker
66.258,-16.538,2.7 km,1.3,99,6.2 km SW of Kópasker
66.266,-16.536,1.5 km,0.9,99,5.5 km SW of Kópasker
66.265,-16.539,1.7 km,0.7,99,5.6 km SW of Kópasker
66.263,-16.533,3.6 km,2.2,99,5.6 km SW of Kópasker
66.261,-16.535,2.3 km,2.1,99,5.9 km SW of Kópasker
66.265,-16.539,1.8 km,0.7,99,5.6 km SW of Kópasker
66.261,-16.535,2.4 km,1.2,99,5.8 km SW of Kópasker
66.26,-16.549,1.2 km,0.7,99,6.4 km SW of Kópasker
66.266,-16.535,5.8 km,2.3,99,5.4 km SW of Kópasker
66.255,-16.561,0.7 km,0.4,99,7.2 km SW of Kópasker
66.265,-16.534,4.8 km,1.8,99,5.4 km SW of Kópasker
66.261,-16.532,2.5 km,1.1,99,5.7 km SW of Kópasker
66.255,-16.532,2.4 km,1.8,99,6.3 km SW of Kópasker
66.255,-16.544,2.2 km,1.2,99,6.6 km SW of Kópasker
66.263,-16.531,3.8 km,1.1,99,5.6 km SW of Kópasker
66.636,-17.862,12.6 km,2,99,12.3 km NNE of Grímsey
66.264,-16.535,3.9 km,1.5,99,5.6 km SW of Kópasker
66.269,-16.524,1.8 km,0.9,99,4.8 km SW of Kópasker
66.261,-16.547,1.7 km,0.8,99,6.2 km SW of Kópasker
66.269,-16.535,5.2 km,2.3,99,5.2 km SW of Kópasker
66.262,-16.537,2.1 km,0.9,99,5.8 km SW of Kópasker
66.215,-17.173,9.7 km,0.9,99,20.7 km NNE of Húsavík
66.598,-17.754,1.1 km,1.3,99,12.9 km ENE of Grímsey
63.964,-19.319,2.0 km,1.3,99,12.4 km NNW of Álftavatn
66.261,-16.549,0.9 km,0.8,99,6.3 km SW of Kópasker
66.262,-16.533,3.4 km,1.4,99,5.7 km SW of Kópasker
66.263,-16.533,2.1 km,0.5,99,5.6 km SW of Kópasker
66.578,-17.757,0.6 km,1.2,99,11.9 km ENE of Grímsey
66.263,-16.558,1.1 km,0.6,99,6.4 km SW of Kópasker
